101,El resplandor,Stephen King,Terror,1977,Disponible
102,Dune,Frank Herbert,Ciencia Ficcion,1965,Prestado
103,Fundacion,Isaac Asimov,Ciencia Ficcion,1951,Disponible
104,El alquimista,Paulo Coelho,Ficcion,1988,Disponible
105,Don Quijote de la Mancha,Miguel de Cervantes,Clasico,1605,Prestado
106,Orgullo y prejuicio,Jane Austen,Romance,1813,Disponible
107,Matar a un ruisenor,Harper Lee,Novela,1960,Disponible
108,El senor de los anillos,J.R.R. Tolkien,Fantasia,1954,Prestado
109,Harry Potter y la piedra filosofal,J.K. Rowling,Fantasia,1997,Disponible
110,El codigo Da Vinci,Dan Brown,Misterio,2003,Prestado
111,Los juegos del hambre,Suzanne Collins,Ciencia Ficcion,2008,Disponible
112,El retrato de Dorian Gray,Oscar Wilde,Clasico,1890,Disponible
113,Crimen y castigo,Fiodor Dostoievski,Novela,1866,Prestado
114,La metamorfosis,Franz Kafka,Ficcion,1915,Disponible
115,El principito,Antoine de Saint-Exupery,Infantil,1943,Disponible
116,Rayuela,Julio Cortazar,Novela,1963,Prestado
117,Pedro Paramo,Juan Rulfo,Novela,1955,Disponible
118,La sombra del viento,Carlos Ruiz Zafon,Misterio,2001,Disponible
119,El nombre de la rosa,Umberto Eco,Historico,1980,Prestado
120,Los miserables,Victor Hugo,Clasico,1862,Disponible
121,Moby Dick,Herman Melville,Aventura,1851,Disponible
122,El gran Gatsby,F. Scott Fitzgerald,Novela,1925,Prestado
123,Un mundo feliz,Aldous Huxley,Ciencia Ficcion,1932,Disponible
124,Parque Jurasico,Michael Crichton,Ciencia Ficcion,1990,Disponible
125,El psicoanalista,John Katzenbach,Thriller,2002,Prestado
126,IT,Stephen King,Terror,1986,Disponible
127,El perfume,Patrick Suskind,Novela,1985,Disponible
128,Dracula,Bram Stoker,Terror,1897,Prestado
129,Mujercitas,Louisa May Alcott,Clasico,1868,Disponible
130,El visitante,Stephen King,Terror,2018,Disponible
